Country.name;Regional.indicator;Ladder.score;Social.support;Healthy.life.expectancy;Freedom.to.make.life.choices;Generosity;Perceptions.of.corruption;Dystopia + residual
Finland;Europa;7741;1572;695;859;142;546;2082
Denmark;Europa;7583;1520;699;823;204;548;1881
Iceland;Europa;7525;1617;718;819;258;182;2050
Sweden;Europa;7344;1501;724;838;221;524;1658
Israel;Ásia;7341;1513;740;641;153;193;2298
Netherlands;Europa;7319;1462;706;725;247;372;1906
Norway;Europa;7302;1517;704;835;224;484;1586
Luxembourg;Europa;7122;1355;708;801;146;432;1540
Switzerland;Europa;7060;1425;747;759;173;498;1488
Australia;Oceania;7057;1461;692;756;225;323;1745
New Zealand;Oceania;7029;1527;673;746;226;480;1567
Costa Rica;América;6955;1373;661;797;109;123;2333
Kuwait;Ásia;6951;1364;661;827;200;172;1884
Austria;Europa;6905;1336;696;703;214;305;1766
Canada;América;6900;1459;701;730;230;368;1572
Belgium;Europa;6894;1440;690;729;170;311;1686
Ireland;Europa;6838;1390;700;758;205;418;1239
Czechia;Europa;6822;1511;638;787;177;68;1858
Lithuania;Europa;6818;1454;598;533;44;116;2307
United Kingdom;Europa;6749;1326;672;713;267;351;1598
Slovenia;Europa;6743;1502;695;789;157;131;1683
United Arab Emirates;Ásia;6733;1164;563;815;209;258;1741
United States;América;6725;1392;542;586;223;169;1873
Germany;Europa;6719;1390;702;700;174;368;1513
Mexico;América;6678;1241;544;722;86;127;2437
Uruguay;América;6611;1431;592;775;106;220;1891
France;Europa;6609;1348;727;650;112;281;1672
Saudi Arabia;Ásia;6594;1361;511;787;114;188;1790
Kosovo;Europa;6561;1277;599;739;254;73;2255
Singapore;Asia;6523;1361;769;743;168;575;788
Taiwan Province of China;Asia;6503;1346;650;649;68;202;1747
Romania;Europa;6491;1236;583;717;41;6;2210
El Salvador;América;6469;1080;549;816;83;253;2424
Estonia;Europa;6448;1527;657;805;166;401;1138
Poland;Europa;6442;1417;639;600;81;175;1791
Spain;Europa;6421;1471;729;619;119;177;1540
Serbia;Europa;6411;1391;585;663;200;101;1932
Chile;América;6360;1369;673;651;117;75;1858
Panama;América;6358;1392;633;720;63;43;1806
Malta;Europa;6346;1444;707;727;250;125;1267
Italy;Europa;6324;1328;720;513;112;74;1777
Guatemala;América;6287;1169;467;735;105;78;2473
Nicaragua;América;6284;1263;542;793;133;251;2203
Brazil;América;6272;1269;548;685;130;142;2068
Slovakia;Europa;6257;1540;638;566;96;58;1653
Latvia;Europa;6234;1508;564;666;127;78;1590
Uzbekistan;Asia;6195;1394;539;835;251;215;1749
Argentina;América;6188;1381;585;681;87;80;1812
Kazakhstan;Asia;6188;1457;556;733;149;120;1551
Cyprus;Europa;6068;1217;744;529;124;49;1611
Japan;Asia;6060;1354;785;632;23;219;1261
South Korea;Asia;6058;1178;770;555;126;158;1456
Philippines;Asia;6048;1146;441;826;99;136;2167
Vietnam;Asia;6043;1267;539;843;94;160;1810
Portugal;Europa;6030;1368;699;757;47;35;1397
Hungary;Europa;6017;1528;596;581;123;67;1400
Paraguay;América;5977;1408;549;788;131;65;1637
Thailand;Asia;5976;1347;620;756;283;24;1463
Malaysia;Asia;5975;1143;540;829;226;119;1473
China;Asia;5973;1239;629;704;132;164;1608
Honduras;América;5968;1035;502;720;175;81;2364
Bahrain;Ásia;5959;;;;;;
Croatia;Europa;5942;1445;637;469;64;43;1574
Greece;Europa;5934;1276;696;337;18;93;1830
Bosnia and Herzegovina;Europa;5877;1318;587;621;246;0;1640
Libya;Africa;5866;1100;550;592;111;204;1785
Jamaica;América;5842;1324;567;647;89;28;1907
Peru;América;5841;1180;662;615;78;29;1907
Dominican Republic;América;5823;1272;511;730;86;196;1512
Mauritius;Africa;5816;1358;490;641;123;118;1517
Moldova;Asia;5816;1277;542;695;77;44;1795
Russia;Asia;5785;1351;531;551;138;121;1451
Bolivia;América;5784;1179;488;719;100;61;2020
Ecuador;América;5725;1151;640;606;87;78;1846
Kyrgyzstan;Asia;5714;1477;588;834;225;30;1505
Montenegro;Europa;5707;1318;587;632;110;132;1357
Mongolia;Asia;5696;1511;400;501;237;55;1640
Colombia;América;5695;1241;648;644;72;59;1596
Venezuela;América;5607;1321;491;518;192;86;2998
Indonesia;Asia;5568;1184;472;779;399;55;1318
Bulgaria;Europa;5463;1469;567;620;83;6;1088
Armenia;Asia;5455;1154;603;650;51;173;1379
South Africa;Africa;5422;1369;322;537;78;34;1693
North Macedonia;Europa;5369;1277;569;580;194;15;1260
Algeria;Africa;5364;1191;568;247;91;200;1743
Hong Kong S.A.R. of China;Asia;5316;1184;857;485;147;402;333
Albania;Europa;5304;924;638;690;138;49;1428
Tajikistan;Asia;5281;;;;;;
Congo (Brazzaville);Africa;5221;622;306;523;124;138;2617
Mozambique;Africa;5216;883;156;728;158;196;2536
Georgia;Asia;5185;990;524;680;0;174;1349
Iraq;Ásia;5166;996;498;425;141;48;1809
Nepal;Asia;5158;990;443;653;209;115;1783
Laos;Asia;5139;846;423;796;170;167;1529
Gabon;Africa;5106;1038;344;516;45;100;1660
Ivory Coast;Africa;5080;578;288;547;120;164;2303
Guinea;Africa;5023;622;236;521;210;107;2497
Turkiye;Ásia;4975;1175;631;202;68;115;1083
Senegal;Africa;4969;751;392;607;152;69;2071
Iran;Ásia;4923;1136;571;366;235;123;1057
Azerbaijan;Asia;4893;876;496;668;112;199;1110
Nigeria;Africa;4881;1075;256;566;201;19;1722
State of Palestine;Ásia;4879;;;;;;
Cameroon;Africa;4874;856;288;521;126;60;2080
Ukraine;Europa;4873;1315;513;631;285;25;753
Namibia;Africa;4832;1212;307;470;69;61;1446
Morocco;Ásia;4795;471;495;631;42;82;1861
Pakistan;Asia;4657;600;321;542;144;74;1907
Niger;Africa;4556;677;293;615;145;147;2107
Burkina Faso;Africa;4548;685;274;483;173;179;1999
Mauritania;Africa;4505;705;400;343;133;198;1649
Gambia;Africa;4485;684;330;459;324;48;1890
Chad;Africa;4471;805;199;411;218;113;2122
Kenya;Africa;4470;895;353;519;282;69;1316
Tunisia;Africa;4422;955;579;254;24;18;1285
Benin;Africa;4377;128;284;567;112;252;2121
Uganda;Africa;4372;1151;373;587;178;54;1256
Myanmar;Asia;4354;988;436;450;401;174;928
Cambodia;Asia;4341;1019;442;863;170;71;765
Ghana;Africa;4289;747;360;623;183;28;1273
Liberia;Africa;4269;673;301;546;178;75;1878
Mali;Africa;4232;688;267;586;120;90;1734
Madagascar;Africa;4228;823;333;250;172;123;1897
Togo;Africa;4214;586;320;453;127;156;1814
Jordan;Ásia;4186;983;594;593;59;189;504
India;Asia;4054;653;417;767;174;122;756
Egypt;Africa;3977;996;488;490;25;259;349
Sri Lanka;Asia;3898;1179;586;583;144;31;14
Bangladesh;Asia;3886;249;513;775;140;167;919
Ethiopia;Africa;3861;915;420;441;270;101;923
Tanzania;Africa;3781;706;380;709;191;257;717
Comoros;Africa;3566;328;370;172;128;160;1512
Yemen;Ásia;3561;1281;293;362;80;113;760
Zambia;Africa;3502;809;264;727;168;109;526
Eswatini;Africa;3502;925;176;284;59;116;686
Malawi;Africa;3421;410;349;571;135;136;1203
Botswana;Africa;3383;969;241;567;14;82;66
Zimbabwe;Africa;3341;850;232;487;96;131;797
Congo (Kinshasa);Africa;3295;665;262;473;189;72;1102
Sierra Leone;Africa;3245;566;253;469;181;53;1068
Lesotho;Africa;3186;851;0;523;82;85;875
Lebanon;Ásia;2707;577;556;173;68;29;-73
Afghanistan;Asia;1721;0;242;0;91;88;672
